filename,wound_type,healing_time_category,days_to_cure
abrasions (1).jpg,abrasion,moderate_healing,30
abrasions (10).jpg,abrasion,moderate_healing,30
abrasions (11).jpg,abrasion,moderate_healing,30
abrasions (12).jpg,abrasion,moderate_healing,30
abrasions (13).jpg,abrasion,moderate_healing,30
abrasions (14).jpg,abrasion,moderate_healing,30
abrasions (15).jpg,abrasion,moderate_healing,30
abrasions (16).jpg,abrasion,moderate_healing,30
abrasions (17).jpg,abrasion,moderate_healing,30
abrasions (18).jpg,abrasion,moderate_healing,30
abrasions (19).jpg,abrasion,moderate_healing,30
abrasions (2).jpg,abrasion,moderate_healing,30
abrasions (20).jpg,abrasion,moderate_healing,30
abrasions (21).jpg,abrasion,moderate_healing,30
abrasions (22).jpg,abrasion,moderate_healing,30
abrasions (23).jpg,abrasion,moderate_healing,30
abrasions (24).jpg,abrasion,moderate_healing,30
abrasions (25).jpg,abrasion,moderate_healing,30
abrasions (26).jpg,abrasion,moderate_healing,30
abrasions (27).jpg,abrasion,moderate_healing,30
abrasions (28).jpg,abrasion,moderate_healing,30
abrasions (29).jpg,abrasion,moderate_healing,30
abrasions (3).jpg,abrasion,moderate_healing,30
abrasions (30).jpg,abrasion,moderate_healing,30
abrasions (31).jpg,abrasion,moderate_healing,30
abrasions (32).jpg,abrasion,moderate_healing,30
abrasions (33).jpg,abrasion,moderate_healing,30
abrasions (34).jpg,abrasion,moderate_healing,30
abrasions (35).jpg,abrasion,moderate_healing,30
abrasions (36).jpg,abrasion,moderate_healing,30
abrasions (37).jpg,abrasion,moderate_healing,30
abrasions (38).jpg,abrasion,moderate_healing,30
abrasions (39).jpg,abrasion,moderate_healing,30
abrasions (4).jpg,abrasion,moderate_healing,30
abrasions (40).jpg,abrasion,moderate_healing,30
abrasions (41).jpg,abrasion,moderate_healing,30
abrasions (42).jpg,abrasion,moderate_healing,30
abrasions (43).jpg,abrasion,moderate_healing,30
abrasions (44).jpg,abrasion,moderate_healing,30
abrasions (45).jpg,abrasion,moderate_healing,30
abrasions (46).jpg,abrasion,moderate_healing,30
abrasions (47).jpg,abrasion,moderate_healing,30
abrasions (48).jpg,abrasion,moderate_healing,30
abrasions (49).jpg,abrasion,moderate_healing,30
abrasions (5).jpg,abrasion,moderate_healing,30
abrasions (50).jpg,abrasion,moderate_healing,30
abrasions (51).jpg,abrasion,moderate_healing,30
abrasions (52).jpg,abrasion,moderate_healing,30
abrasions (53).jpg,abrasion,moderate_healing,30
abrasions (54).jpg,abrasion,moderate_healing,30
abrasions (55).jpg,abrasion,moderate_healing,30
abrasions (56).jpg,abrasion,moderate_healing,30
abrasions (57).jpg,abrasion,moderate_healing,30
abrasions (58).jpg,abrasion,moderate_healing,30
abrasions (59).jpg,abrasion,moderate_healing,30
abrasions (6).jpg,abrasion,moderate_healing,30
abrasions (60).jpg,abrasion,moderate_healing,30
abrasions (61).jpg,abrasion,moderate_healing,30
abrasions (62).jpg,abrasion,moderate_healing,30
abrasions (63).jpg,abrasion,moderate_healing,30
abrasions (64).jpg,abrasion,moderate_healing,30
abrasions (65).jpg,abrasion,moderate_healing,30
abrasions (66).jpg,abrasion,moderate_healing,30
abrasions (67).jpg,abrasion,moderate_healing,30
abrasions (68).jpg,abrasion,moderate_healing,30
abrasions (69).jpg,abrasion,moderate_healing,30
abrasions (7).jpg,abrasion,moderate_healing,30
abrasions (70).jpg,abrasion,moderate_healing,30
abrasions (71).jpg,abrasion,moderate_healing,30
abrasions (72).jpg,abrasion,moderate_healing,30
abrasions (73).jpg,abrasion,moderate_healing,30
abrasions (74).jpg,abrasion,moderate_healing,30
abrasions (75).jpg,abrasion,moderate_healing,30
abrasions (76).jpg,abrasion,moderate_healing,30
abrasions (77).jpg,abrasion,moderate_healing,30
abrasions (78).jpg,abrasion,moderate_healing,30
abrasions (79).jpg,abrasion,moderate_healing,30
abrasions (8).jpg,abrasion,moderate_healing,30
abrasions (80).jpg,abrasion,moderate_healing,30
abrasions (81).jpg,abrasion,moderate_healing,30
abrasions (82).jpg,abrasion,moderate_healing,30
abrasions (83).jpg,abrasion,moderate_healing,30
abrasions (84).jpg,abrasion,moderate_healing,30
abrasions (85).jpg,abrasion,moderate_healing,30
abrasions (9).jpg,abrasion,moderate_healing,30
abrasions (1).jpg,abrasion,moderate_healing,30
abrasions (10).jpg,abrasion,moderate_healing,30
abrasions (11).jpg,abrasion,moderate_healing,30
abrasions (12).jpg,abrasion,moderate_healing,30
abrasions (13).jpg,abrasion,moderate_healing,30
abrasions (14).jpg,abrasion,moderate_healing,30
abrasions (15).jpg,abrasion,moderate_healing,30
abrasions (16).jpg,abrasion,moderate_healing,30
abrasions (17).jpg,abrasion,moderate_healing,30
abrasions (18).jpg,abrasion,moderate_healing,30
abrasions (19).jpg,abrasion,moderate_healing,30
abrasions (2).jpg,abrasion,moderate_healing,30
abrasions (20).jpg,abrasion,moderate_healing,30
abrasions (21).jpg,abrasion,moderate_healing,30
abrasions (22).jpg,abrasion,moderate_healing,30
abrasions (23).jpg,abrasion,moderate_healing,30
abrasions (24).jpg,abrasion,moderate_healing,30
abrasions (25).jpg,abrasion,moderate_healing,30
abrasions (26).jpg,abrasion,moderate_healing,30
abrasions (27).jpg,abrasion,moderate_healing,30
abrasions (28).jpg,abrasion,moderate_healing,30
abrasions (29).jpg,abrasion,moderate_healing,30
abrasions (3).jpg,abrasion,moderate_healing,30
abrasions (30).jpg,abrasion,moderate_healing,30
abrasions (31).jpg,abrasion,moderate_healing,30
abrasions (32).jpg,abrasion,moderate_healing,30
