filename,wound_type,healing_time_category,days_to_cure
bruises (1).jpg,bruise,moderate_healing,30
bruises (10).jpg,bruise,moderate_healing,30
bruises (100).jpg,bruise,moderate_healing,30
bruises (101).jpg,bruise,moderate_healing,30
bruises (102).jpg,bruise,moderate_healing,30
bruises (103).jpg,bruise,moderate_healing,30
bruises (104).jpg,bruise,moderate_healing,30
bruises (105).jpg,bruise,moderate_healing,30
bruises (106).jpg,bruise,moderate_healing,30
bruises (107).jpg,bruise,moderate_healing,30
bruises (108).jpg,bruise,moderate_healing,30
bruises (109).jpg,bruise,moderate_healing,30
bruises (11).jpg,bruise,moderate_healing,30
bruises (110).jpg,bruise,moderate_healing,30
bruises (111).jpg,bruise,moderate_healing,30
bruises (112).jpg,bruise,moderate_healing,30
bruises (113).jpg,bruise,moderate_healing,30
bruises (114).jpg,bruise,moderate_healing,30
bruises (115).jpg,bruise,moderate_healing,30
bruises (116).jpg,bruise,moderate_healing,30
bruises (117).jpg,bruise,moderate_healing,30
bruises (118).jpg,bruise,moderate_healing,30
bruises (119).jpg,bruise,moderate_healing,30
bruises (12).jpg,bruise,moderate_healing,30
bruises (120).jpg,bruise,moderate_healing,30
bruises (121).jpg,bruise,moderate_healing,30
bruises (122).jpg,bruise,moderate_healing,30
bruises (13).jpg,bruise,moderate_healing,30
bruises (14).jpg,bruise,moderate_healing,30
bruises (15).jpg,bruise,moderate_healing,30
bruises (16).jpg,bruise,moderate_healing,30
bruises (17).jpg,bruise,moderate_healing,30
bruises (18).jpg,bruise,moderate_healing,30
bruises (19).jpg,bruise,moderate_healing,30
bruises (2).jpg,bruise,moderate_healing,30
bruises (20).jpg,bruise,moderate_healing,30
bruises (21).jpg,bruise,moderate_healing,30
bruises (22).jpg,bruise,moderate_healing,30
bruises (23).jpg,bruise,moderate_healing,30
bruises (24).jpg,bruise,moderate_healing,30
bruises (25).jpg,bruise,moderate_healing,30
bruises (26).jpg,bruise,moderate_healing,30
bruises (27).jpg,bruise,moderate_healing,30
bruises (28).jpg,bruise,moderate_healing,30
bruises (29).jpg,bruise,moderate_healing,30
bruises (3).jpg,bruise,moderate_healing,30
bruises (30).jpg,bruise,moderate_healing,30
bruises (31).jpg,bruise,moderate_healing,30
bruises (32).jpg,bruise,moderate_healing,30
bruises (33).jpg,bruise,moderate_healing,30
bruises (34).jpg,bruise,moderate_healing,30
bruises (35).jpg,bruise,moderate_healing,30
bruises (36).jpg,bruise,moderate_healing,30
bruises (37).jpg,bruise,moderate_healing,30
bruises (38).jpg,bruise,moderate_healing,30
bruises (39).jpg,bruise,moderate_healing,30
bruises (4).jpg,bruise,moderate_healing,30
bruises (40).jpg,bruise,moderate_healing,30
bruises (41).jpg,bruise,moderate_healing,30
bruises (42).jpg,bruise,moderate_healing,30
bruises (43).jpg,bruise,moderate_healing,30
bruises (44).jpg,bruise,moderate_healing,30
bruises (45).jpg,bruise,moderate_healing,30
bruises (46).jpg,bruise,moderate_healing,30
bruises (47).jpg,bruise,moderate_healing,30
bruises (48).jpg,bruise,moderate_healing,30
bruises (49).jpg,bruise,moderate_healing,30
bruises (5).jpg,bruise,moderate_healing,30
bruises (50).jpg,bruise,moderate_healing,30
bruises (51).jpg,bruise,moderate_healing,30
bruises (52).jpg,bruise,moderate_healing,30
bruises (53).jpg,bruise,moderate_healing,30
bruises (54).jpg,bruise,moderate_healing,30
bruises (55).jpg,bruise,moderate_healing,30
bruises (56).jpg,bruise,moderate_healing,30
bruises (57).jpg,bruise,moderate_healing,30
bruises (58).jpg,bruise,moderate_healing,30
bruises (59).jpg,bruise,moderate_healing,30
bruises (6).jpg,bruise,moderate_healing,30
bruises (60).jpg,bruise,moderate_healing,30
bruises (61).jpg,bruise,moderate_healing,30
bruises (62).jpg,bruise,moderate_healing,30
bruises (63).jpg,bruise,moderate_healing,30
bruises (64).jpg,bruise,moderate_healing,30
bruises (65).jpg,bruise,moderate_healing,30
bruises (66).jpg,bruise,moderate_healing,30
bruises (67).jpg,bruise,moderate_healing,30
bruises (68).jpg,bruise,moderate_healing,30
bruises (69).jpg,bruise,moderate_healing,30
bruises (7).jpg,bruise,moderate_healing,30
bruises (70).jpg,bruise,moderate_healing,30
bruises (71).jpg,bruise,moderate_healing,30
bruises (72).jpg,bruise,moderate_healing,30
bruises (73).jpg,bruise,moderate_healing,30
bruises (74).jpg,bruise,moderate_healing,30
bruises (75).jpg,bruise,moderate_healing,30
bruises (76).jpg,bruise,moderate_healing,30
bruises (77).jpg,bruise,moderate_healing,30
bruises (78).jpg,bruise,moderate_healing,30
bruises (79).jpg,bruise,moderate_healing,30
bruises (8).jpg,bruise,moderate_healing,30
bruises (80).jpg,bruise,moderate_healing,30
bruises (81).jpg,bruise,moderate_healing,30
bruises (82).jpg,bruise,moderate_healing,30
bruises (83).jpg,bruise,moderate_healing,30
bruises (84).jpg,bruise,moderate_healing,30
bruises (85).jpg,bruise,moderate_healing,30
bruises (86).jpg,bruise,moderate_healing,30
bruises (87).jpg,bruise,moderate_healing,30
bruises (88).jpg,bruise,moderate_healing,30
bruises (89).jpg,bruise,moderate_healing,30
bruises (9).jpg,bruise,moderate_healing,30
bruises (90).jpg,bruise,moderate_healing,30
bruises (91).jpg,bruise,moderate_healing,30
bruises (92).jpg,bruise,moderate_healing,30
bruises (93).jpg,bruise,moderate_healing,30
bruises (94).jpg,bruise,moderate_healing,30
bruises (95).jpg,bruise,moderate_healing,30
bruises (96).jpg,bruise,moderate_healing,30
bruises (97).jpg,bruise,moderate_healing,30
bruises (98).jpg,bruise,moderate_healing,30
bruises (99).jpg,bruise,moderate_healing,30
bruises (1).jpg,bruise,moderate_healing,30
bruises (10).jpg,bruise,moderate_healing,30
bruises (100).jpg,bruise,moderate_healing,30
bruises (101).jpg,bruise,moderate_healing,30
bruises (102).jpg,bruise,moderate_healing,30
bruises (103).jpg,bruise,moderate_healing,30
bruises (104).jpg,bruise,moderate_healing,30
bruises (105).jpg,bruise,moderate_healing,30
bruises (106).jpg,bruise,moderate_healing,30
bruises (107).jpg,bruise,moderate_healing,30
bruises (108).jpg,bruise,moderate_healing,30
bruises (109).jpg,bruise,moderate_healing,30
bruises (11).jpg,bruise,moderate_healing,30
bruises (110).jpg,bruise,moderate_healing,30
bruises (111).jpg,bruise,moderate_healing,30
bruises (112).jpg,bruise,moderate_healing,30
bruises (113).jpg,bruise,moderate_healing,30
bruises (114).jpg,bruise,moderate_healing,30
bruises (115).jpg,bruise,moderate_healing,30
bruises (116).jpg,bruise,moderate_healing,30
bruises (117).jpg,bruise,moderate_healing,30
bruises (118).jpg,bruise,moderate_healing,30
bruises (119).jpg,bruise,moderate_healing,30
bruises (12).jpg,bruise,moderate_healing,30
bruises (120).jpg,bruise,moderate_healing,30
bruises (121).jpg,bruise,moderate_healing,30
bruises (122).jpg,bruise,moderate_healing,30
bruises (13).jpg,bruise,moderate_healing,30
bruises (14).jpg,bruise,moderate_healing,30
bruises (15).jpg,bruise,moderate_healing,30
bruises (16).jpg,bruise,moderate_healing,30
bruises (17).jpg,bruise,moderate_healing,30
bruises (18).jpg,bruise,moderate_healing,30
bruises (19).jpg,bruise,moderate_healing,30
bruises (2).jpg,bruise,moderate_healing,30
bruises (20).jpg,bruise,moderate_healing,30
bruises (21).jpg,bruise,moderate_healing,30
bruises (22).jpg,bruise,moderate_healing,30
bruises (23).jpg,bruise,moderate_healing,30
bruises (24).jpg,bruise,moderate_healing,30
bruises (25).jpg,bruise,moderate_healing,30
bruises (26).jpg,bruise,moderate_healing,30
bruises (27).jpg,bruise,moderate_healing,30
bruises (28).jpg,bruise,moderate_healing,30
bruises (29).jpg,bruise,moderate_healing,30
bruises (3).jpg,bruise,moderate_healing,30
bruises (30).jpg,bruise,moderate_healing,30
bruises (31).jpg,bruise,moderate_healing,30
bruises (32).jpg,bruise,moderate_healing,30
bruises (33).jpg,bruise,moderate_healing,30
bruises (34).jpg,bruise,moderate_healing,30
bruises (35).jpg,bruise,moderate_healing,30
bruises (36).jpg,bruise,moderate_healing,30
bruises (37).jpg,bruise,moderate_healing,30
