filename,wound_type,healing_time_category,days_to_cure
cut (1).jpg,cut,moderate_healing,30
cut (10).jpg,cut,moderate_healing,30
cut (11).jpg,cut,moderate_healing,30
cut (12).jpg,cut,moderate_healing,30
cut (13).jpg,cut,moderate_healing,30
cut (14).jpg,cut,moderate_healing,30
cut (15).jpg,cut,moderate_healing,30
cut (16).jpg,cut,moderate_healing,30
cut (17).jpg,cut,moderate_healing,30
cut (18).jpg,cut,moderate_healing,30
cut (19).jpg,cut,moderate_healing,30
cut (2).jpg,cut,moderate_healing,30
cut (20).jpg,cut,moderate_healing,30
cut (21).jpg,cut,moderate_healing,30
cut (22).jpg,cut,moderate_healing,30
cut (23).jpg,cut,moderate_healing,30
cut (24).jpg,cut,moderate_healing,30
cut (25).jpg,cut,moderate_healing,30
cut (26).jpg,cut,moderate_healing,30
cut (27).jpg,cut,moderate_healing,30
cut (28).jpg,cut,moderate_healing,30
cut (29).jpg,cut,moderate_healing,30
cut (3).jpg,cut,moderate_healing,30
cut (30).jpg,cut,moderate_healing,30
cut (31).jpg,cut,moderate_healing,30
cut (32).jpg,cut,moderate_healing,30
cut (33).jpg,cut,moderate_healing,30
cut (34).jpg,cut,moderate_healing,30
cut (35).jpg,cut,moderate_healing,30
cut (36).jpg,cut,moderate_healing,30
cut (37).jpg,cut,moderate_healing,30
cut (38).jpg,cut,moderate_healing,30
cut (39).jpg,cut,moderate_healing,30
cut (4).jpg,cut,moderate_healing,30
cut (40).jpg,cut,moderate_healing,30
cut (41).jpg,cut,moderate_healing,30
cut (42).jpg,cut,moderate_healing,30
cut (43).jpg,cut,moderate_healing,30
cut (44).jpg,cut,moderate_healing,30
cut (45).jpg,cut,moderate_healing,30
cut (46).jpg,cut,moderate_healing,30
cut (47).jpg,cut,moderate_healing,30
cut (48).jpg,cut,moderate_healing,30
cut (49).jpg,cut,moderate_healing,30
cut (5).jpg,cut,moderate_healing,30
cut (50).jpg,cut,moderate_healing,30
cut (6).jpg,cut,moderate_healing,30
cut (7).jpg,cut,moderate_healing,30
cut (8).jpg,cut,moderate_healing,30
cut (9).jpg,cut,moderate_healing,30
cut (1).jpg,cut,moderate_healing,30
cut (10).jpg,cut,moderate_healing,30
cut (11).jpg,cut,moderate_healing,30
cut (12).jpg,cut,moderate_healing,30
cut (13).jpg,cut,moderate_healing,30
cut (14).jpg,cut,moderate_healing,30
cut (15).jpg,cut,moderate_healing,30
cut (16).jpg,cut,moderate_healing,30
cut (17).jpg,cut,moderate_healing,30
cut (18).jpg,cut,moderate_healing,30
cut (19).jpg,cut,moderate_healing,30
cut (2).jpg,cut,moderate_healing,30
cut (20).jpg,cut,moderate_healing,30
cut (21).jpg,cut,moderate_healing,30
cut (22).jpg,cut,moderate_healing,30
cut (23).jpg,cut,moderate_healing,30
cut (24).jpg,cut,moderate_healing,30
cut (25).jpg,cut,moderate_healing,30
cut (26).jpg,cut,moderate_healing,30
cut (27).jpg,cut,moderate_healing,30
cut (28).jpg,cut,moderate_healing,30
cut (29).jpg,cut,moderate_healing,30
cut (3).jpg,cut,moderate_healing,30
cut (30).jpg,cut,moderate_healing,30
cut (31).jpg,cut,moderate_healing,30
cut (32).jpg,cut,moderate_healing,30
cut (33).jpg,cut,moderate_healing,30
cut (34).jpg,cut,moderate_healing,30
cut (35).jpg,cut,moderate_healing,30
cut (36).jpg,cut,moderate_healing,30
cut (37).jpg,cut,moderate_healing,30
cut (38).jpg,cut,moderate_healing,30
cut (39).jpg,cut,moderate_healing,30
cut (4).jpg,cut,moderate_healing,30
cut (40).jpg,cut,moderate_healing,30
cut (41).jpg,cut,moderate_healing,30
cut (42).jpg,cut,moderate_healing,30
cut (43).jpg,cut,moderate_healing,30
cut (44).jpg,cut,moderate_healing,30
cut (45).jpg,cut,moderate_healing,30
cut (46).jpg,cut,moderate_healing,30
cut (47).jpg,cut,moderate_healing,30
cut (48).jpg,cut,moderate_healing,30
cut (49).jpg,cut,moderate_healing,30
cut (5).jpg,cut,moderate_healing,30
cut (50).jpg,cut,moderate_healing,30
cut (6).jpg,cut,moderate_healing,30
cut (7).jpg,cut,moderate_healing,30
cut (8).jpg,cut,moderate_healing,30
cut (9).jpg,cut,moderate_healing,30
