filename,wound_type,healing_time_category,days_to_cure
laseration (1).jpg,laceration,moderate_healing,30
laseration (10).jpg,laceration,moderate_healing,30
laseration (11).jpg,laceration,moderate_healing,30
laseration (12).jpg,laceration,moderate_healing,30
laseration (13).jpg,laceration,moderate_healing,30
laseration (14).jpg,laceration,moderate_healing,30
laseration (15).jpg,laceration,moderate_healing,30
laseration (16).jpg,laceration,moderate_healing,30
laseration (17).jpg,laceration,moderate_healing,30
laseration (18).jpg,laceration,moderate_healing,30
laseration (19).jpg,laceration,moderate_healing,30
laseration (2).jpg,laceration,moderate_healing,30
laseration (20).jpg,laceration,moderate_healing,30
laseration (21).jpg,laceration,moderate_healing,30
laseration (22).jpg,laceration,moderate_healing,30
laseration (23).jpg,laceration,moderate_healing,30
laseration (24).jpg,laceration,moderate_healing,30
laseration (25).jpg,laceration,moderate_healing,30
laseration (26).jpg,laceration,moderate_healing,30
laseration (27).jpg,laceration,moderate_healing,30
laseration (28).jpg,laceration,moderate_healing,30
laseration (29).jpg,laceration,moderate_healing,30
laseration (3).jpg,laceration,moderate_healing,30
laseration (30).jpg,laceration,moderate_healing,30
laseration (31).jpg,laceration,moderate_healing,30
laseration (32).jpg,laceration,moderate_healing,30
laseration (33).jpg,laceration,moderate_healing,30
laseration (34).jpg,laceration,moderate_healing,30
laseration (35).jpg,laceration,moderate_healing,30
laseration (36).jpg,laceration,moderate_healing,30
laseration (37).jpg,laceration,moderate_healing,30
laseration (38).jpg,laceration,moderate_healing,30
laseration (39).jpg,laceration,moderate_healing,30
laseration (4).jpg,laceration,moderate_healing,30
laseration (40).jpg,laceration,moderate_healing,30
laseration (41).jpg,laceration,moderate_healing,30
laseration (42).jpg,laceration,moderate_healing,30
laseration (43).jpg,laceration,moderate_healing,30
laseration (44).jpg,laceration,moderate_healing,30
laseration (45).jpg,laceration,moderate_healing,30
laseration (46).jpg,laceration,moderate_healing,30
laseration (47).jpg,laceration,moderate_healing,30
laseration (48).jpg,laceration,moderate_healing,30
laseration (49).jpg,laceration,moderate_healing,30
laseration (5).jpg,laceration,moderate_healing,30
laseration (50).jpg,laceration,moderate_healing,30
laseration (51).jpg,laceration,moderate_healing,30
laseration (52).jpg,laceration,moderate_healing,30
laseration (53).jpg,laceration,moderate_healing,30
laseration (54).jpg,laceration,moderate_healing,30
laseration (55).jpg,laceration,moderate_healing,30
laseration (56).jpg,laceration,moderate_healing,30
laseration (57).jpg,laceration,moderate_healing,30
laseration (58).jpg,laceration,moderate_healing,30
laseration (59).jpg,laceration,moderate_healing,30
laseration (6).jpg,laceration,moderate_healing,30
laseration (60).jpg,laceration,moderate_healing,30
laseration (61).jpg,laceration,moderate_healing,30
laseration (7).jpg,laceration,moderate_healing,30
laseration (8).jpg,laceration,moderate_healing,30
laseration (9).jpg,laceration,moderate_healing,30
laseration (1).jpg,laceration,moderate_healing,30
laseration (10).jpg,laceration,moderate_healing,30
laseration (11).jpg,laceration,moderate_healing,30
laseration (12).jpg,laceration,moderate_healing,30
laseration (13).jpg,laceration,moderate_healing,30
laseration (14).jpg,laceration,moderate_healing,30
laseration (15).jpg,laceration,moderate_healing,30
laseration (16).jpg,laceration,moderate_healing,30
laseration (17).jpg,laceration,moderate_healing,30
laseration (18).jpg,laceration,moderate_healing,30
laseration (19).jpg,laceration,moderate_healing,30
laseration (2).jpg,laceration,moderate_healing,30
laseration (20).jpg,laceration,moderate_healing,30
laseration (21).jpg,laceration,moderate_healing,30
laseration (22).jpg,laceration,moderate_healing,30
laseration (23).jpg,laceration,moderate_healing,30
laseration (24).jpg,laceration,moderate_healing,30
laseration (25).jpg,laceration,moderate_healing,30
laseration (26).jpg,laceration,moderate_healing,30
laseration (27).jpg,laceration,moderate_healing,30
laseration (28).jpg,laceration,moderate_healing,30
laseration (29).jpg,laceration,moderate_healing,30
laseration (3).jpg,laceration,moderate_healing,30
laseration (30).jpg,laceration,moderate_healing,30
laseration (31).jpg,laceration,moderate_healing,30
laseration (32).jpg,laceration,moderate_healing,30
laseration (33).jpg,laceration,moderate_healing,30
laseration (34).jpg,laceration,moderate_healing,30
laseration (35).jpg,laceration,moderate_healing,30
laseration (36).jpg,laceration,moderate_healing,30
laseration (37).jpg,laceration,moderate_healing,30
laseration (38).jpg,laceration,moderate_healing,30
laseration (39).jpg,laceration,moderate_healing,30
laseration (4).jpg,laceration,moderate_healing,30
laseration (40).jpg,laceration,moderate_healing,30
laseration (41).jpg,laceration,moderate_healing,30
laseration (42).jpg,laceration,moderate_healing,30
laseration (43).jpg,laceration,moderate_healing,30
laseration (44).jpg,laceration,moderate_healing,30
laseration (45).jpg,laceration,moderate_healing,30
laseration (46).jpg,laceration,moderate_healing,30
laseration (47).jpg,laceration,moderate_healing,30
laseration (48).jpg,laceration,moderate_healing,30
laseration (49).jpg,laceration,moderate_healing,30
laseration (5).jpg,laceration,moderate_healing,30
laseration (50).jpg,laceration,moderate_healing,30
laseration (51).jpg,laceration,moderate_healing,30
laseration (52).jpg,laceration,moderate_healing,30
laseration (53).jpg,laceration,moderate_healing,30
laseration (54).jpg,laceration,moderate_healing,30
laseration (55).jpg,laceration,moderate_healing,30
laseration (56).jpg,laceration,moderate_healing,30
laseration (57).jpg,laceration,moderate_healing,30
laseration (58).jpg,laceration,moderate_healing,30
laseration (59).jpg,laceration,moderate_healing,30
