filename,wound_type,healing_time_category,days_to_cure
stab_wound (1).jpg,stab_wound,moderate_healing,30
stab_wound (10).jpg,stab_wound,moderate_healing,30
stab_wound (11).jpg,stab_wound,moderate_healing,30
stab_wound (12).jpg,stab_wound,moderate_healing,30
stab_wound (13).jpg,stab_wound,moderate_healing,30
stab_wound (14).jpg,stab_wound,moderate_healing,30
stab_wound (15).jpg,stab_wound,moderate_healing,30
stab_wound (16).jpg,stab_wound,moderate_healing,30
stab_wound (17).jpg,stab_wound,moderate_healing,30
stab_wound (18).jpg,stab_wound,moderate_healing,30
stab_wound (19).jpg,stab_wound,moderate_healing,30
stab_wound (2).jpg,stab_wound,moderate_healing,30
stab_wound (20).jpg,stab_wound,moderate_healing,30
stab_wound (21).jpg,stab_wound,moderate_healing,30
stab_wound (22).jpg,stab_wound,moderate_healing,30
stab_wound (23).jpg,stab_wound,moderate_healing,30
stab_wound (3).jpg,stab_wound,moderate_healing,30
stab_wound (4).jpg,stab_wound,moderate_healing,30
stab_wound (5).jpg,stab_wound,moderate_healing,30
stab_wound (6).jpg,stab_wound,moderate_healing,30
stab_wound (7).jpg,stab_wound,moderate_healing,30
stab_wound (8).jpg,stab_wound,moderate_healing,30
stab_wound (9).jpg,stab_wound,moderate_healing,30
stab_wound (1).jpg,stab_wound,moderate_healing,30
stab_wound (10).jpg,stab_wound,moderate_healing,30
stab_wound (11).jpg,stab_wound,moderate_healing,30
stab_wound (12).jpg,stab_wound,moderate_healing,30
stab_wound (13).jpg,stab_wound,moderate_healing,30
stab_wound (14).jpg,stab_wound,moderate_healing,30
stab_wound (15).jpg,stab_wound,moderate_healing,30
stab_wound (16).jpg,stab_wound,moderate_healing,30
stab_wound (17).jpg,stab_wound,moderate_healing,30
stab_wound (18).jpg,stab_wound,moderate_healing,30
stab_wound (19).jpg,stab_wound,moderate_healing,30
stab_wound (2).jpg,stab_wound,moderate_healing,30
stab_wound (20).jpg,stab_wound,moderate_healing,30
stab_wound (21).jpg,stab_wound,moderate_healing,30
stab_wound (22).jpg,stab_wound,moderate_healing,30
stab_wound (23).jpg,stab_wound,moderate_healing,30
stab_wound (3).jpg,stab_wound,moderate_healing,30
stab_wound (4).jpg,stab_wound,moderate_healing,30
stab_wound (5).jpg,stab_wound,moderate_healing,30
stab_wound (6).jpg,stab_wound,moderate_healing,30
stab_wound (7).jpg,stab_wound,moderate_healing,30
stab_wound (8).jpg,stab_wound,moderate_healing,30
stab_wound (9).jpg,stab_wound,moderate_healing,30
