filename,wound_type,healing_time_category,days_to_cure
ingrown_nail (1).jpg,ingrown,moderate_healing,30
ingrown_nail (10).jpg,ingrown,moderate_healing,30
ingrown_nail (11).jpg,ingrown,moderate_healing,30
ingrown_nail (12).jpg,ingrown,moderate_healing,30
ingrown_nail (13).jpg,ingrown,moderate_healing,30
ingrown_nail (14).jpg,ingrown,moderate_healing,30
ingrown_nail (15).jpg,ingrown,moderate_healing,30
ingrown_nail (16).jpg,ingrown,moderate_healing,30
ingrown_nail (17).jpg,ingrown,moderate_healing,30
ingrown_nail (18).jpg,ingrown,moderate_healing,30
ingrown_nail (19).jpg,ingrown,moderate_healing,30
ingrown_nail (2).jpg,ingrown,moderate_healing,30
ingrown_nail (20).jpg,ingrown,moderate_healing,30
ingrown_nail (21).jpg,ingrown,moderate_healing,30
ingrown_nail (22).jpg,ingrown,moderate_healing,30
ingrown_nail (23).jpg,ingrown,moderate_healing,30
ingrown_nail (24).jpg,ingrown,moderate_healing,30
ingrown_nail (25).jpg,ingrown,moderate_healing,30
ingrown_nail (26).jpg,ingrown,moderate_healing,30
ingrown_nail (27).jpg,ingrown,moderate_healing,30
ingrown_nail (28).jpg,ingrown,moderate_healing,30
ingrown_nail (29).jpg,ingrown,moderate_healing,30
ingrown_nail (3).jpg,ingrown,moderate_healing,30
ingrown_nail (30).jpg,ingrown,moderate_healing,30
ingrown_nail (31).jpg,ingrown,moderate_healing,30
ingrown_nail (4).jpg,ingrown,moderate_healing,30
ingrown_nail (5).jpg,ingrown,moderate_healing,30
ingrown_nail (6).jpg,ingrown,moderate_healing,30
ingrown_nail (7).jpg,ingrown,moderate_healing,30
ingrown_nail (8).jpg,ingrown,moderate_healing,30
ingrown_nail (9).jpg,ingrown,moderate_healing,30
ingrown_nail (1).jpg,ingrown,moderate_healing,30
ingrown_nail (10).jpg,ingrown,moderate_healing,30
ingrown_nail (11).jpg,ingrown,moderate_healing,30
ingrown_nail (12).jpg,ingrown,moderate_healing,30
ingrown_nail (13).jpg,ingrown,moderate_healing,30
ingrown_nail (14).jpg,ingrown,moderate_healing,30
ingrown_nail (15).jpg,ingrown,moderate_healing,30
ingrown_nail (16).jpg,ingrown,moderate_healing,30
ingrown_nail (17).jpg,ingrown,moderate_healing,30
ingrown_nail (18).jpg,ingrown,moderate_healing,30
ingrown_nail (19).jpg,ingrown,moderate_healing,30
ingrown_nail (2).jpg,ingrown,moderate_healing,30
ingrown_nail (20).jpg,ingrown,moderate_healing,30
ingrown_nail (21).jpg,ingrown,moderate_healing,30
ingrown_nail (22).jpg,ingrown,moderate_healing,30
ingrown_nail (23).jpg,ingrown,moderate_healing,30
ingrown_nail (24).jpg,ingrown,moderate_healing,30
ingrown_nail (25).jpg,ingrown,moderate_healing,30
ingrown_nail (26).jpg,ingrown,moderate_healing,30
ingrown_nail (27).jpg,ingrown,moderate_healing,30
ingrown_nail (28).jpg,ingrown,moderate_healing,30
ingrown_nail (29).jpg,ingrown,moderate_healing,30
ingrown_nail (3).jpg,ingrown,moderate_healing,30
ingrown_nail (30).jpg,ingrown,moderate_healing,30
ingrown_nail (31).jpg,ingrown,moderate_healing,30
ingrown_nail (4).jpg,ingrown,moderate_healing,30
ingrown_nail (5).jpg,ingrown,moderate_healing,30
ingrown_nail (6).jpg,ingrown,moderate_healing,30
ingrown_nail (7).jpg,ingrown,moderate_healing,30
ingrown_nail (8).jpg,ingrown,moderate_healing,30
ingrown_nail (9).jpg,ingrown,moderate_healing,30
